positionx,positiony,positionz,velocityx,velocityy,velocityz
-59768.26227653118,30803.617281179802,13674.873066818409,70.95050628772901,85.55710676383319,-0.5134517924307103
-59762.58623602816,30810.46184972091,13674.831990675015,70.95050628772901,85.55710676383319,-0.5134517924307103
-59756.91019552514,30817.306418262015,13674.79091453162,71.62853186132726,86.37471765097337,-0.6734517924307103
-59751.17991297623,30824.21639567409,13674.737038388226,72.98081764273495,88.005398882562,-0.7821805887095726
-59745.34144756481,30831.256827584697,13674.67446394113,73.60620630338954,88.75953648084112,-0.8180197436900192
-59739.452951060535,30838.357590503165,13674.609022361634,74.39698192230401,89.71310929650689,-1.0130849079422575
-59733.50119250675,30845.534639246885,13674.527975568999,75.61450061048447,91.1812788958778,-1.2624129659344012
-59727.45203245791,30852.829141558555,13674.426982531724,76.46502658315316,92.20690288725464,-1.4494478907856543
-59721.33483033126,30860.205693789536,13674.311026700461,77.08426429762943,92.95362324235381,-1.7898329485460862
-59715.16808918745,30867.641983648926,13674.167840064578,78.43226990158999,94.57914313517303,-2.1601406985365372
-59708.89350759532,30875.20831509974,13673.995028808695,79.53216917842605,95.9054789822507,-2.4708861740378167
-59702.53093406105,30882.880753418318,13673.797357914771,80.88345783409106,97.53495780954249,-2.8331493483506485
-59696.06025743432,30890.683550043083,13673.570705966902,82.20633399095382,99.13017484899598,-3.064514531456203
-59689.483750715044,30898.613964031003,13673.325544804386,83.26568304156943,100.40761238349543,-3.1679201179415286
-59682.82249607172,30906.646573021684,13673.07211119495,83.99435268687438,101.28629345147961,-3.3186387996403255
-59676.10294785677,30914.749476497804,13672.806620090978,85.07153586443158,102.58523662959765,-3.333676583204057
-59669.29722498762,30922.956295428172,13672.539925964322,85.31682143142437,102.8810192045341,-3.4605653729290804
-59662.47187927311,30931.186776964536,13672.263080734487,85.78445112330981,103.44491995123673,-3.6978565634785676
-59655.60912318324,30939.462370560635,13671.967252209408,86.61907993730307,104.4513740314572,-3.95667628531777
-59648.67959678826,30947.81848048315,13671.650718106583,86.65285833636297,104.49210639893262,-4.24177595333265
-59641.747368121345,30956.177848995067,13671.311376030317,87.8763369527996,105.96746289864853,-4.413809511639513
-59634.71726116512,30964.65524602696,13670.958271269386,88.41905804060956,106.62191412785378,-4.591360102379905
-59627.643736521866,30973.184999157187,13670.590962461196,89.59693750157636,108.04228396127233,-4.670408558585785
-59620.47598152174,30981.82838187409,13670.21732977651,89.68330548686855,108.1464325477342,-4.862983190605934
-59613.30131708279,30990.48009647791,13669.828291121261,90.7854702199221,109.47550024113137,-4.920517903735455
-59606.0384794652,30999.2381364972,13669.434649688963,91.64492365454835,110.51188959354361,-5.025834527303178
-59598.706885572836,31008.079087664682,13669.032582926779,92.23348634634173,111.22161985050282,-5.248779029649
-59591.32820666513,31016.976817252722,13668.612680604407,92.4819791587641,111.52126994737806,-5.328851501444288
-59583.92964833243,31025.898518848513,13668.186372484291,93.18789377069761,112.37251139693753,-5.423930462731701
-59576.474616830776,31034.888319760266,13667.752458047273,93.39850266625899,112.62647840444392,-5.660337346004617
-59569.002736617476,31043.898438032622,13667.299631059592,94.61716689049078,114.09602937169184,-5.96765466689046
-59561.43336326624,31053.026120382357,13666.82221868624,94.88110980943938,114.41431029282388,-6.250763414423259
