positionx,positiony,positionz,velocityx,velocityy,velocityz
98160.71337007397,-92688.23420776238,17601.444845302925,-66.48872443872727,37.5972214303319,-0.34786695010405644
98155.39427211887,-92685.22643004794,17601.417015946918,-66.48872443872727,37.5972214303319,-0.34786695010405644
98150.07517416377,-92682.21865233351,17601.38918659091,-66.48425427479421,37.59867387463914,-0.5078669501040565
98144.75643382178,-92679.21075842353,17601.3485572349,-65.84751993469091,38.06128845176562,-0.7432309040576419
98139.488632227,-92676.1658553474,17601.289098762576,-64.69433506190433,39.64851126162993,-1.0682788584529486
98134.31308542205,-92672.99397444646,17601.203636453898,-64.57499759739139,40.01579421152962,-1.4969464920710605
98129.14708561426,-92669.79271090955,17601.08388073453,-64.57499759739139,38.96164802259003,-2.0472474644565333
98123.98108580646,-92666.67577906774,17600.920100937376,-64.75823500344156,37.34204156233235,-2.7472936865153894
98118.80042700618,-92663.68841574276,17600.700317442454,-65.0933507123828,35.72184653581131,-3.5768986625567454
98113.59295894919,-92660.83066801989,17600.41416554945,-65.13821744639827,35.26139745113283,-4.364078055535526
98108.38190155347,-92658.0097562238,17600.065039305005,-65.00867691301822,34.546846018910394,-5.033391297862152
98103.18120740043,-92655.24600854228,17599.662368001176,-65.01239813769884,33.19119657061425,-5.657400661587438
98097.98021554941,-92652.59071281663,17599.20977594825,-65.02043019200168,33.153084345194344,-6.352569953120308
98092.77858113404,-92649.93846606901,17598.701570352,-65.03565902508151,33.114245653263566,-7.015749400613462
98087.57572841203,-92647.28932641675,17598.14031039995,-65.38356690402962,32.42095715265307,-7.746521754905804
98082.34504305971,-92644.69564984454,17597.520588659558,-65.76926911602344,30.85164243872038,-8.593564858735144
98077.08350153043,-92642.22751844944,17596.833103470857,-65.81082924191108,29.778401696189366,-9.303496299246863
98071.81863519108,-92639.84524631374,17596.088823766917,-65.92292610682662,29.470006772510732,-10.158917580665326
98066.54480110254,-92637.48764577194,17595.276110360464,-66.17422958011174,28.94730465392819,-11.106383678210667
98061.25086273614,-92635.17186139962,17594.387599666206,-66.74098768579653,28.268526813268466,-12.178527345106474
98055.91158372127,-92632.91037925456,17593.413317478597,-66.84710553211364,28.20179489478737,-13.115208352460929
98050.5638152787,-92630.65423566298,17592.3641008104,-67.2890807963858,27.990618354696647,-14.078315907695178
98045.18068881499,-92628.4149861946,17591.237835537784,-68.36343755719491,27.700040360323126,-15.049439397896855
98039.71161381042,-92626.19898296578,17590.033880385952,-69.54779759604486,27.703412086144983,-15.962038318515749
98034.14779000274,-92623.98270999889,17588.756917320472,-70.42988062027611,27.639017229990344,-16.851416542257784
98028.51339955312,-92621.7715886205,17587.408803997092,-72.50723288556378,27.494819522075673,-17.720525014870823
98022.71282092227,-92619.57200305873,17585.991161995902,-74.5301474454697,27.998555887521764,-18.432435908854135
98016.75040912663,-92617.33211858773,17584.516567123195,-75.0850608878647,27.98696627052443,-19.299393656249666
98010.74360425561,-92615.09316128609,17582.972615630697,-77.00561848234211,28.37601994225298,-20.049423142049363
98004.58315477702,-92612.8230796907,17581.368661779332,-77.10563980855025,28.37549378893502,-20.889464102039657
97998.41470359234,-92610.55304018759,17579.69750465117,-78.4553217235039,28.425876397760266,-21.571052190741476
97992.13827785446,-92608.27897007577,17577.97182047591,-80.34788837366979,28.611622266195575,-22.1611353308786
97985.71044678458,-92605.99004029448,17576.19892964944,-81.94950998373994,28.64503159616589,-22.59879418643725
97979.15448598588,-92603.69843776678,17574.391026114525,-82.255769447622,28.6707139255926,-22.909409988496485
97972.57402443007,-92601.40478065274,17572.558273315444,-83.90244590616491,29.171400489215312,-23.170047430253913
97965.86182875758,-92599.0710686136,17570.704669521023,-85.49718072866554,29.63084347051371,-23.33246525586566
97959.02205429929,-92596.70060113596,17568.838072300554,-86.46508663699959,29.619840621323437,-23.467065771338262
97952.10484736833,-92594.33101388626,17566.96070703885,-88.50416069070367,29.53522233703647,-23.528186038859438
97945.02451451308,-92591.96819609929,17565.07845215574,-90.73552797419663,29.69490676122797,-23.564605645644416
97937.76567227514,-92589.5926035584,17563.193283704088,-92.94454850785327,29.598015050403234,-23.636596436582504
97930.33010839451,-92587.22476235437,17561.302355989163,-94.99402376628507,29.045052722726904,-23.699317235385926
97922.73058649321,-92584.90115813655,17559.406410610332,-95.46610694936047,28.768694637594397,-23.736298975586415
97915.09329793726,-92582.59966256554,17557.507506692287,-96.65688098460747,28.330931986002227,-23.787876417143547
