positionx,positiony,positionz,velocityx,velocityy,velocityz
-15755.069312364096,-12346.038599633219,14591.349142757408,27.864300445486947,21.563177308382393,-0.47026068280773303
-15752.840168328457,-12344.31354544855,14591.311521902784,27.864300445486947,21.563177308382393,-0.47026068280773303
-15750.611024292819,-12342.58849126388,14591.27390104816,29.23568847398533,21.349555065401415,-0.6302606828077331
-15748.2721692149,-12340.880526858647,14591.223480193536,30.18399405505972,20.91957899899213,-0.6427684691699254
-15745.857449690497,-12339.206960538728,14591.172058716002,30.408916589857743,20.823199120235703,-0.7246152935554193
-15743.424736363308,-12337.541104609109,14591.114089492517,31.122467430862052,20.681822457459702,-0.7683431612126673
-15740.934938968838,-12335.886558812512,14591.05262203962,31.43347041806609,20.691078488511796,-0.9628319188322292
-15738.420261335392,-12334.23127253343,14590.975595486114,31.628615833913415,20.694896409038527,-1.2051712400231809
-15735.889972068679,-12332.575680820708,14590.879181786911,31.76922573320875,20.711682991746986,-1.357124410105927
-15733.348434010022,-12330.918746181369,14590.770611834103,32.8960542900523,21.065201974697324,-1.4919278892915635
-15730.716749666817,-12329.233530023394,14590.65125760296,32.92377238790408,21.081776527089776,-1.7556580411286602
-15728.082847875785,-12327.546987901227,14590.51080495967,35.07926410542514,21.602580930588797,-2.005190594646127
-15725.27650674735,-12325.81878142678,14590.350389712097,36.71808042382223,21.555675483598375,-2.1691030461246217
-15722.339060313445,-12324.094327388093,14590.176861468408,38.31747213020714,21.78576445738725,-2.3017567492198
-15719.273662543028,-12322.351466231503,14589.99272092847,39.78247580545022,21.822838297915318,-2.3936377082859126
-15716.091064478593,-12320.60563916767,14589.801229911807,42.00196609283524,22.10401498849342,-2.599863047624981
-15712.730907191166,-12318.837317968591,14589.593240867996,44.18899296094022,22.154216771828388,-2.7146712447822177
-15709.19578775429,-12317.064980626845,14589.376067168414,44.373006235614625,22.125404713793458,-2.7447040214342335
-15705.645947255442,-12315.29494824974,14589.156490846699,45.10009960173663,22.115253069591137,-2.879771389055909
-15702.037939287302,-12313.525728004173,14588.926109135575,46.24885155495712,22.15628201678556,-3.13219307246669
-15698.338031162906,-12311.75322544283,14588.675533689777,46.74464973754593,22.075382939277585,-3.3777186964816623
-15694.598459183902,-12309.987194807687,14588.405316194057,48.32182408301385,21.904678290181447,-3.688662905695938
