positionx,positiony,positionz,velocityx,velocityy,velocityz
-60581.743288484955,-60809.03382186713,9000.0,-89.83483192813263,-140.49080644619266,-0.956831656420237
-60588.93007503921,-60820.273086382826,8999.923453467487,-89.83483192813263,-140.49080644619266,-0.956831656420237
-60596.11686159346,-60831.51235089852,8999.846906934974,-90.7623804565809,-141.94138010434705,-0.796831656420237
-60603.37785202998,-60842.86766130687,8999.78316040246,-91.87878094348318,-143.6872953730181,-0.7352462668717664
-60610.72815450546,-60854.36264493671,8999.72434070111,-92.60127100201764,-144.81718239784232,-0.6379711292411099
-60618.13625618562,-60865.948019528536,8999.673303010772,-93.69777013217929,-146.53197435278466,-0.5247116611370893
-60625.632077796196,-60877.67057747676,8999.63132607788,-94.21678688377148,-147.3436537473496,-0.27925488037822277
-60633.1694207469,-60889.45806977655,8999.60898568745,-94.93689850184734,-148.46982117910576,0.05184085312038261
-60640.76437262705,-60901.33565547088,8999.6131329557,-95.63484898387662,-149.56133127574898,0.5007227148042697
-60648.41516054576,-60913.30056197294,8999.653190772884,-96.46819808459347,-150.86458842776972,1.0038724113983215
-60656.132616392526,-60925.36972904716,8999.733500565795,-96.5988775962391,-151.06895537078105,1.4758499154582534
-60663.86052660023,-60937.45524547682,8999.851568559032,-97.26850920847197,-152.1161781818586,1.7930717076090648
-60671.64200733691,-60949.62453973137,8999.99501429564,-98.0037127956757,-153.2659476270891,2.14629170898548
-60679.482304360565,-60961.88581554154,9000.166717632359,-98.00918681142586,-153.27450832532534,2.3549533549483255
-60687.32303930548,-60974.14777620756,9000.355113900754,-98.6619551642312,-154.29535903923932,2.41173017812415
-60695.215995718616,-60986.4914049307,9000.548052315004,-99.67507418705762,-155.8797545959286,2.494374908029415
-60703.19000165358,-60998.96178529837,9000.747602307645,-100.09044869955044,-156.5293500700315,2.5073301045178216
-60711.197237549546,-61011.48413330397,9000.948188716007,-100.46095915950521,-157.10878359485224,2.6739837409289877
-60719.234114282306,-61024.05283599156,9001.16210741528,-100.80523697732835,-157.64719244172582,2.9175167547637466
-60727.29853324049,-61036.6646113869,9001.395508755662,-101.286277792375,-158.3994820669071,3.2381310679629434
-60735.401435463886,-61049.336569952255,9001.6545592411,-102.24237078017079,-159.89469580538704,3.5004060566047883
-60743.5808251263,-61062.12814561668,9001.934591725629,-103.15452538561334,-161.32119523074078,3.9117834365588458
-60751.83318715715,-61075.03384123514,9002.247534400554,-103.85288658870525,-162.4133476454256,4.4439099649681815
-60760.14141808425,-61088.02690904678,9002.603047197752,-104.68700290222927,-163.71780462543825,5.025726305000791
-60768.516378316424,-61101.12433341681,9003.005105302153,-105.84202319228045,-165.52411659294793,5.530438335987862
-60776.9837401718,-61114.366262744246,9003.447540369032,-106.37146433207091,-166.35209846922572,5.904052690614315
-60785.49345731837,-61127.67443062179,9003.91986458428,-106.37756739565188,-166.3616429221498,6.194779654671452
-60794.00366271002,-61140.98336205556,9004.415446956655,-106.78750001004325,-167.0027279261326,6.343244331634491
-60802.546662710825,-61154.34358028965,9004.922906503185,-106.86282243014618,-167.12052307659502,6.5340816679670555
-60811.09568850524,-61167.713222135775,9005.445633036623,-107.99128907492795,-168.88530835609384,6.836047862120964
-60819.73499163123,-61181.224046804266,9005.992516865592,-109.22860512372947,-170.8203209318841,7.247147806300297
-60828.47328004113,-61194.889672478814,9006.572288690097,-109.53643073451612,-171.30172293794348,7.625192026324973
-60837.23619449989,-61208.59381031385,9007.182304052203,-110.55348547043998,-172.89227347366634,8.039835087500643
-60846.080473337526,-61222.42519219174,9007.825490859203,-111.1262313966272,-173.78797879566423,8.507228549601706
-60854.970571849255,-61236.32823049539,9008.50606914317,-112.28131323773839,-175.5943870215836,8.983874894963442
-60863.95307690828,-61250.375781457114,9009.224779134767,-113.24582092121314,-177.10276032586404,9.3752040448539
-60873.012742581974,-61264.54400228318,9009.974795458356,-113.31526287902722,-177.21135914488679,9.78892974117616
-60882.0779636123,-61278.720911014774,9010.75790983765,-114.39277438932432,-178.89645676000558,10.282094622570789
-60891.22938556344,-61293.03262755558,9011.580477407455,-115.22684804259904,-180.2008470245505,10.777736590509777
-60900.44753340685,-61307.448695317544,9012.442696334696,-116.3350697855636,-181.9339717273924,11.212109258098726
-60909.7543389897,-61322.00341305573,9013.339665075344,-116.806141447621,-182.67067080364086,11.504732976517497
-60919.098830305506,-61336.61706672002,9014.260043713466,-117.83762546733628,-184.28378699316175,11.873814627906658
-60928.52584034289,-61351.359769679475,9015.2099488837,-118.00090078237456,-184.53912982834214,12.281639929111064
-60937.96591240548,-61366.12290006574,9016.192480078029,-118.23848499082236,-184.9106827808808,12.557987081720121
-60947.424991204745,-61380.91575468821,9017.197119044566,-119.42592708213488,-186.76769852228173,12.73299221674515
-60956.97906537131,-61395.857170569994,9018.215758421906,-120.59878186316955,-188.60190147558222,12.861803926930298
-60966.62696792037,-61410.94532268804,9019.24470273606,-121.66520681352901,-190.2696610525156,13.141987034881533
-60976.36018446545,-61426.16689557224,9020.29606169885,-122.70885561263425,-191.90180148497274,13.378791227022257
-60986.17689291446,-61441.51903969104,9021.366364997011,-123.89432559561358,-193.75573308758047,13.525776345043296
-60996.088438962106,-61457.01949833805,9022.448427104615,-124.67178771107949,-194.9715897574137,13.68268696758352
-61006.062181978996,-61472.61722551864,9023.543042062021,-125.12460559344791,-195.67974213107306,13.997802466688741
-61016.07215042647,-61488.27160488912,9024.662866259356,-126.17417836554708,-197.32114694044745,14.371537769713221
-61026.16608469572,-61504.05729664436,9025.812589280933,-126.91811220035578,-198.4845694365066,14.802492206485685
-61036.31953367175,-61519.93606219928,9026.996788657452,-127.35802581934531,-199.17254110375416,15.368903066746089
-61046.5081757373,-61535.869865487584,9028.226300902792,-127.81956443017381,-199.89433164145143,16.060401492232035
-61056.73374089171,-61551.8614120189,9029.51113302217,-127.98772504852717,-200.15731449985822,16.752331991961388
-61066.972758895594,-61567.87399717889,9030.851319581527,-128.31060357766552,-200.66225744870346,17.518560676054896
-61077.23760718181,-61583.92697777478,9032.252804435611,-129.4648422617682,-202.46734707908988,18.23243522030558
-61087.59479456275,-61600.12436554111,9033.711399253236,-130.5977700101247,-204.23910898475253,18.902100392607345
-61098.042616163555,-61616.463494259886,9035.223567284644,-131.20874465698867,-205.19459939992655,19.41340437742612
-61108.53931573612,-61632.87906221188,9036.776639634838,-131.48477883304858,-205.6262834490757,19.77006204146595
-61119.05809804276,-61649.32916488781,9038.358244598156,-132.34663303583721,-206.97411913140525,20.215837475546863
-61129.64582868563,-61665.88709441832,9039.9755115962,-132.76969828044108,-207.63574197989348,20.706197597602866
-61140.26740454807,-61682.497953776714,9041.632007404009,-133.81959576268667,-209.27765459664454,21.179979058672227
-61150.972972209085,-61699.240166144446,9043.326405728702,-134.24036641057123,-209.93568897352722,21.601147190164827
-61161.71220152193,-61716.03502126233,9045.054497503914,-134.9019889278299,-210.9703865292258,22.05414503836974
-61172.50436063616,-61732.91265218467,9046.818829106984,-135.13537374287614,-211.33537213864255,22.413108989131562
-61183.315190535584,-61749.81948195576,9048.611877826113,-136.33680580906318,-213.21426650785517,22.875587748208407
-61194.22213500031,-61766.87662327639,9050.44192484597,-136.63349815232482,-213.6782574307144,23.338446901021346
-61205.152814852496,-61783.97088387085,9052.309000598052,-137.2033346910907,-214.56941282284305,23.788116310214253
-61216.12908162778,-61801.136436896675,9054.21204990287,-137.27820705181819,-214.6865041349028,24.15842316958585
-61227.11133819193,-61818.31135722747,9056.144723756437,-137.85574431099624,-215.58970252191108,24.650962519714746
-61238.13979773681,-61835.55853342922,9058.116800758015,-138.80719652110815,-217.07765864566238,25.057798450548688
-61249.244373458496,-61852.92474612087,9060.121424634059,-139.26996967927695,-217.8013798660104,25.403902773709383
-61260.38597103284,-61870.34885651015,9062.153736855955,-139.80151445229947,-218.63265157010767,25.82587368480314
-61271.570092189024,-61887.83946863576,9064.21980675074,-140.35927097062762,-219.50491527204488,26.203633749779318
-61282.79883386668,-61905.39986185752,9066.316097450723,-141.27602030470953,-220.93860029699394,26.73402768415095
-61294.10091549105,-61923.07494988128,9068.454819665454,-141.91593151237655,-221.9393439917227,27.41319674138296
-61305.45419001204,-61940.83009740062,9070.647875404764,-142.7155908056147,-223.1899143615665,27.977632719999697
-61316.87143727649,-61958.68529054955,9072.886086022363,-143.03935270416412,-223.6962387932763,28.581761120956013
-61328.31458549282,-61976.58098965301,9075.172626912039,-144.03373869534008,-225.2513381553018,29.05804941734594
-61339.83728458845,-61994.60109670544,9077.497270865426,-144.65435237742722,-226.22190285516916,29.687445697983943
-61351.40963277865,-62012.698848933855,9079.872266521264,-145.4106162174534,-227.40460798736524,30.29330712468265
-61363.042482076045,-62030.89121757285,9082.295731091239,-145.66052753028282,-227.79543903948453,30.84025223098156
-61374.695324278466,-62049.11485269601,9084.762951269717,-146.6966960458185,-229.41588121360937,31.469804832286385
-61386.43105996213,-62067.468123193095,9087.2805356563,-147.1584482348396,-230.13800576175532,32.049899054733416
-61398.20373582092,-62085.87916365403,9089.844527580679,-147.83810542560082,-231.2009073644809,32.57824024382691
-61410.03078425497,-62104.37523624319,9092.450786800186,-148.50766046724627,-232.24801042842537,33.14838654099415
-61421.91139709234,-62122.955077077466,9095.102657723464,-149.30989960121624,-233.50261535699366,33.753090095995056
-61433.85618906044,-62141.635286306024,9097.802904931144,-149.748249506006,-234.18814156445393,34.2402042110688
-61445.83604902092,-62160.37033763118,9100.54212126803,-150.66770942856851,-235.62606562178507,34.62055778434479
-61457.88946577521,-62179.22042288093,9103.311765890778,-151.42005555820128,-236.80264392899824,34.86306779768977
-61470.003070219864,-62198.164634395245,9106.100811314593,-151.74349485536214,-237.3084638511735,35.163852002112726
-61482.14254980829,-62217.14931150334,9108.913919474762,-152.46993367950006,-238.44452626757123,35.48757290532498
-61494.34014450265,-62236.22487360474,9111.752925307188,-152.9227578044261,-239.15268840383533,35.729647268111435
-61506.573965127,-62255.35708867705,9114.611297088637,-152.94439169972355,-239.1865211982167,35.866170305202616
-61518.80951646298,-62274.4920103729,9117.480590713054,-153.2292169175705,-239.63195337293865,35.97176982382983
-61531.067853816385,-62293.662566642735,9120.35833229896,-153.5908599459772,-240.19751930784398,35.97943010140982
-61543.35512261206,-62312.87836818736,9123.236686707072,-153.64398901525033,-240.28060674317072,36.096603087861936
-61555.646641733285,-62332.100816726816,9126.124414954102,-154.48322278683278,-241.5930668083359,36.223000541043604
-61568.00529955623,-62351.42826207148,9129.022254997386,-154.56149088089046,-241.71546863641484,36.243422926115464
-61580.3702188267,-62370.765499562396,9131.921728831476,-155.3040252391375,-242.87670252047874,36.290599506066364
-61592.794540845825,-62390.19563576404,9134.82497679196,-155.42138601062777,-243.0602405655547,36.3297867595059
-61605.22825172667,-62409.640455009285,9137.731359732721,-155.51090291704236,-243.20023417496907,36.36786395154549
-61617.66912396003,-62429.09647374328,9140.640788848845,-156.16306847811887,-244.22014219556146,36.409650712076
-61630.162169438285,-62448.63408511892,9143.553560905812,-156.20622230528008,-244.28762955930438,36.580053589186
-61642.658667222706,-62468.17709548367,9146.479965192946,-156.69782353851832,-245.05643440064736,36.89038378612205
-61655.19449310579,-62487.78161023572,9149.431195895835,-157.3651556605555,-246.1000610873145,37.23151721984005
-61667.783705558635,-62507.4696151227,9152.409717273422,-157.4873078539095,-246.29109233638727,37.480032997076364
-61680.38269018695,-62527.172902509614,9155.408119913189,-158.51117564747338,-247.89229766982794,37.70574474275024
-61693.06358423874,-62547.0042863232,9158.424579492608,-158.93072260050548,-248.54841833603763,37.93978454610391
-61705.77804204678,-62566.88815979008,9161.459762256296,-159.17196850005777,-248.9256977303716,38.20299108288107
-61718.51179952679,-62586.80221560851,9164.516001542926,-159.91741858736108,-250.0914914618544,38.50968567985476
-61731.30519301377,-62606.809534925465,9167.596776397315,-161.0779876790512,-251.9064810836807,38.97588659671317
-61744.1914320281,-62626.96205341216,9170.714847325053,-161.60431188317486,-252.7295884497482,39.51261896565621
-61757.119776978754,-62647.180420488134,9173.875856842305,-162.41249711610567,-253.99349235756858,39.935658342813014
-61770.11277674804,-62667.49989987674,9177.070709509731,-162.74551976625278,-254.51429948415668,40.51516306221781
-61783.13241832934,-62687.86104383547,9180.311922554709,-163.13763107700845,-255.1275141257648,40.94479848928064
-61796.1834288155,-62708.27124496554,9183.58750643385,-163.53920595337814,-255.75552863883075,41.23500654370836
-61809.26656529177,-62728.731687256644,9186.886306957347,-164.65547758299974,-257.5012423903075,41.53308105360764
-61822.43900349841,-62749.33178664787,9190.208953441635,-164.7049794569884,-257.5786573311272,41.78314974067454
-61835.61540185497,-62769.93807923436,9193.55160542089,-165.13710240628671,-258.2544453337072,41.99804520945816
-61848.82637004747,-62790.59843486106,9196.911449037645,-165.58807144154903,-258.95970633421706,42.264180440576176
-61862.073415762796,-62811.31521136779,9200.29258347289,-166.62591185373446,-260.58276315239004,42.38235010529261
-61875.4034887111,-62832.16183241999,9203.683171481314,-167.10780923525803,-261.3363923438902,42.530049972299146
-61888.772113449915,-62853.0687438075,9207.085575479097,-167.88283806642033,-262.5484436515183,42.66842487286848
-61902.20274049523,-62874.072619299615,9210.499049468926,-167.97374850830707,-262.6906165817829,42.79049553412038
-61915.640640375896,-62895.08786862616,9213.922289111655,-168.3631727620703,-263.29962899140895,42.84981405601997
-61929.109694196864,-62916.15183894547,9217.350274236136,-169.41218999530003,-264.94016500521593,42.980968774154945
-61942.662669396486,-62937.34705214589,9220.788751738068,-169.74299344393154,-265.4575015691737,43.24782333484344
-61956.242108872,-62958.58365227142,9224.248577604856,-170.68590764386315,-266.9321052781664,43.36933046352492
-61969.89698148351,-62979.93822069368,9227.718124041938,-170.79476730992957,-267.102348623057,43.48937628415156
-61983.560562868304,-63001.30640858352,9231.19727414467,-171.3101662798507,-267.90837024486717,43.72804247686004
-61997.26537617069,-63022.73907820311,9234.69551754282,-171.6889894280658,-268.50080380822936,44.01945399659634
-62011.00049532494,-63044.21914250777,9238.217073862546,-172.28057164423763,-269.4259668084306,44.2812103355645
-62024.782941056474,-63065.773219852446,9241.759570689392,-172.35667656713863,-269.5449856985805,44.385644515789544
-62038.571475181845,-63087.33681870833,9245.310422250655,-173.1236299645812,-270.74440800505903,44.49377554186961
-62052.42136557901,-63108.99637134874,9248.869924294006,-173.7593987093441,-271.7386733890749,44.52369395795841
-62066.32211747576,-63130.73546521986,9252.431819810643,-174.41703837088625,-272.76714224038824,44.57773921865452
-62080.275480545424,-63152.55683659909,9255.998038948135,-174.9149007012577,-273.5457386800078,44.70578282793727
-62094.26867260152,-63174.44049569349,9259.57450157437,-174.98598006964298,-273.6568982110249,44.90463107855153
-62108.2675510071,-63196.33304755037,9263.166872060654,-176.04839823270382,-275.31839165747454,45.23901312321304
-62122.351422865715,-63218.35851888297,9266.78599311051,-176.40600563692166,-275.87764636448935,45.519504509906966
-62136.46390331667,-63240.428730592124,9270.427553471303,-177.33326879848033,-277.32777374335996,45.88723143475682
-62150.65056482055,-63262.614952491596,9274.098531986085,-177.54219016925813,-277.65450148620135,46.30175124402518
-62164.85394003409,-63284.82731261049,9277.802672085607,-178.1731875382902,-278.64130501594644,46.55984786646599
-62179.107795037155,-63307.118617011765,9281.527459914923,-178.22237921447544,-278.71823484493785,46.97589157932358
-62193.36558537431,-63329.41607579936,9285.285531241268,-178.40274567920756,-279.00030617008196,47.30776568658193
-62207.63780502865,-63351.73610029297,9289.070152496195,-178.93412270411787,-279.8313155364305,47.767267022642194
-62221.95253484498,-63374.122605535886,9292.891533858006,-179.86809517897927,-281.2919354694293,48.374777568445936
-62236.3419824593,-63396.62596037344,9296.761516063481,-180.4763206347498,-282.2431264824059,48.942429798734416
-62250.78008811008,-63419.20541049204,9300.67691044738,-181.15018600829222,-283.29697038385467,49.622724002478
-62265.27210299074,-63441.86916812275,9304.64672836758,-181.19403691477402,-283.36554789530317,50.26412223626725
-62279.767625943925,-63464.538411954374,9308.66785814648,-181.91644227636158,-284.4953024643514,50.858957532091665
-62294.320941326034,-63487.29803615152,9312.736574749048,-183.01855633905333,-286.2188754943218,51.56387999316663
-62308.96242583316,-63510.19554619107,9316.8616851485,-183.47998559141323,-286.9404950086074,52.128855088251896
