positionx,positiony,positionz,velocityx,velocityy,velocityz
82652.7605284708,69545.07533880937,9943.348389816303,-97.80922200603742,-26.991952552519137,-1.0274339224264375
82644.93579071031,69542.91598260518,9943.26619510251,-97.80922200603742,-26.991952552519137,-1.0274339224264375
82637.11105294983,69540.75662640098,9943.184000388716,-95.78437341496355,-27.649865741648487,-0.8674339224264375
82629.44830307663,69538.54463714165,9943.114605674922,-95.5588617729272,-27.813709540148217,-0.7074339224264374
82621.80359413479,69536.31954037843,9943.058010961127,-94.77551703311808,-28.89189107751769,-0.5474339224264374
82614.22155277214,69534.00818909223,9943.014216247333,-94.57156255914181,-29.519598404407688,-0.38743392242643737
82606.6558277674,69531.64662121987,9942.98322153354,-94.57156255914181,-28.16799940141462,-0.22743392242643737
82599.09010276267,69529.39318126776,9942.965026819746,-94.55573612312539,-28.066559085652834,-0.06743392242643736
82591.52564387282,69527.1478565409,9942.95963210595,-94.57402249789801,-26.142193857326557,0.09256607757356264
82583.95972207299,69525.05648103231,9942.967037392156,-94.57382678729304,-26.13939710615982,-0.06743392242643736
82576.39381593,69522.96532926382,9942.961642678361,-94.55389861008243,-24.232165816693463,0.09256607757356264
82568.82950404119,69521.0267559985,9942.969047964567,-94.50041795789959,-23.989271887541737,-0.06743392242643736
82561.26947060456,69519.10761424749,9942.963653250772,-94.44353302244534,-23.75862053467183,0.09256607757356264
82553.71398796276,69517.20692460472,9942.971058536978,-93.62196299536691,-22.27488990069141,-0.06743392242643736
82546.22423092314,69515.42493341267,9942.965663823183,-93.62113795842811,-22.270753499391866,0.09256607757356264
82538.73453988646,69513.64327313271,9942.973069109388,-93.62612626426906,-20.5815819425586,-0.06743392242643736
82531.24444978531,69511.99674657731,9942.967674395593,-93.52749704615542,-19.146387119862432,0.09256607757356264
82523.76225002162,69510.46503560772,9942.975079681799,-93.62583618090224,-18.5882353517817,-0.06743392242643736
82516.27218312715,69508.97797677957,9942.969684968004,-93.80976397697098,-18.190075469786514,0.09256607757356264
82508.76740200899,69507.52277074198,9942.97709025421,-93.98516144227814,-17.24178258295229,-0.06743392242643736
82501.24858909361,69506.14342813534,9942.971695540415,-93.93449850567539,-16.738479200416066,0.09256607757356264
82493.73382921316,69504.8043497993,9942.97910082662,-93.56697499410137,-15.563763097494807,-0.06743392242643736
82486.24847121364,69503.55924875151,9942.973706112825,-92.9663482599473,-13.936011223218692,0.09256607757356264
82478.81116335285,69502.44436785365,9942.98111139903,-92.6143875404931,-12.161203802910324,-0.06743392242643736
82471.4020123496,69501.47147154942,9942.975716685236,-91.99031958467033,-10.815510077748232,0.09256607757356264
82464.04278678283,69500.6062307432,9942.983121971442,-91.69272622143741,-10.15344918982963,-0.06743392242643736
82456.7073686851,69499.79395480802,9942.977727257647,-91.44945664216155,-9.38268557323646,0.09256607757356264
82449.39141215374,69499.04333996215,9942.985132543852,-91.24048527205493,-8.499506064278858,-0.06743392242643736
82442.09217333197,69498.36337947701,9942.979737830057,-91.24433775289071,-7.15276865620036,0.09256607757356264
82434.79262631174,69497.79115798452,9942.987143116263,-91.53560236354038,-5.685431817896339,-0.06743392242643736
82427.46977812266,69497.33632343909,9942.981748402468,-91.7482518462956,-4.5387945412838935,0.09256607757356264
82420.12991797495,69496.97321987578,9942.989153688673,-92.12765534710694,-2.596774576909925,-0.06743392242643736
82412.75970554719,69496.76547790963,9942.983758974879,-92.1825060531401,-0.5247900000275725,0.09256607757356264
82405.38510506293,69496.72349470963,9942.991164261084,-91.96318126678179,0.7384008844490517,-0.06743392242643736
82398.0280505616,69496.78256678038,9942.98576954729,-91.96182898987718,2.0426146054466017,0.09256607757356264
82390.6711042424,69496.94597594882,9942.993174833495,-91.68760534068636,3.5425362327075254,-0.06743392242643736
82383.33609581515,69497.22937884743,9942.9877801197,-91.61981819927522,4.3219468129233345,0.09256607757356264
82376.0065103592,69497.57513459247,9942.995185405905,-90.8768770358191,6.247995145231752,-0.06743392242643736
82368.73636019634,69498.07497420408,9942.98979069211,-90.47077640991984,7.281339467229282,0.09256607757356264
82361.49869808355,69498.65748136146,9942.997195978316,-89.58813657701047,8.594906473577733,-0.06743392242643736
82354.33164715739,69499.34507387935,9942.991801264521,-88.4954680713126,10.403202102486835,0.09256607757356264
82347.2520097117,69500.17733004755,9942.999206550727,-88.13409927261037,11.719312812083341,-0.06743392242643736
82340.20128176989,69501.11487507251,9942.993811836932,-87.78919684424676,12.327964788357626,0.09256607757356264
82333.17814602234,69502.10111225558,9943.001217123137,-87.5070404602809,12.64992105577759,-0.06743392242643736
82326.17758278552,69503.11310594004,9942.995822409343,-87.06383962148624,13.182241925188684,0.09256607757356264
82319.2124756158,69504.16768529406,9943.003227695548,-85.90770513477504,14.70270944531388,-0.06743392242643736
82312.33985920502,69505.34390204969,9942.997832981753,-85.81678506454386,14.938524278194437,0.09256607757356264
82305.47451639986,69506.53898399194,9943.005238267959,-85.50315033120346,15.52940044039537,-0.06743392242643736
82298.63426437337,69507.78133602717,9942.999843554164,-84.86572377740102,16.518295992784736,0.09256607757356264
82291.84500647118,69509.1027997066,9943.00724884037,-84.75600698429044,16.66315773927802,-0.06743392242643736
82285.06452591244,69510.43585232574,9943.001854126574,-84.52882882288047,16.935183677172542,0.09256607757356264
82278.30221960662,69511.79066701992,9943.00925941278,-83.52039206330943,18.75295488352567,-0.06743392242643736
82271.62058824155,69513.2909034106,9943.003864698985,-83.23015231824186,19.62117288967448,0.09256607757356264
82264.9621760561,69514.86059724177,9943.01126998519,-83.01280454469291,21.830338617152773,-0.06743392242643736
82258.32115169252,69516.60702433114,9943.005875271396,-83.01086418746873,22.563039649225782,0.09256607757356264
82251.68028255753,69518.41206750307,9943.013280557601,-83.28459616266326,23.48034140193928,-0.06743392242643736
82245.01751486452,69520.29049481523,9943.007885843806,-83.68599437671001,25.54755025612353,0.09256607757356264
82238.32263531438,69522.33429883572,9943.015291130012,-83.66177287666447,25.77498491423275,-0.06743392242643736
82231.62969348425,69524.39629762886,9943.009896416217,-83.4154706226647,27.478008010627033,0.09256607757356264
82224.95645583444,69526.59453826971,9943.017301702423,-83.36289275743471,27.630124572600113,-0.06743392242643736
82218.28742441385,69528.80494823551,9943.011906988628,-82.50560747061044,29.454241356975437,0.09256607757356264
82211.6869758162,69531.16128754408,9943.019312274833,-82.46563849059439,29.632102789396534,-0.06743392242643736
82205.08972473696,69533.53185576723,9943.013917561038,-82.30996550886454,29.904417023160843,0.09256607757356264
82198.50492749625,69535.92420912908,9943.021322847244,-81.43699457346597,31.188125331037472,-0.06743392242643736
82191.98996793038,69538.41925915556,9943.015928133449,-80.24540402710008,32.16742433576571,0.09256607757356264
82185.57033560821,69540.99265310242,9943.023333419655,-78.927711313852,33.80462590076387,-0.06743392242643736
82179.2561187031,69543.69702317449,9943.01793870586,-77.89377671182827,35.20147832784867,0.09256607757356264
82173.02461656615,69546.51314144072,9943.025343992065,-77.28637320327721,35.888585747609454,-0.06743392242643736
82166.84170670989,69549.38422830054,9943.01994927827,-76.7835231432441,36.71245330936517,0.09256607757356264
82160.69902485843,69552.32122456528,9943.027354564476,-76.29462109636077,38.00346903733422,-0.06743392242643736
82154.59545517073,69555.36150208827,9943.021959850681,-75.63082398796986,39.80691485525274,0.09256607757356264
82148.54498925169,69558.54605527669,9943.029365136887,-75.37614303306141,40.38862697424575,-0.06743392242643736
82142.51489780904,69561.77714543462,9943.023970423092,-74.84901970549987,41.72576636926985,0.09256607757356264
82136.5269762326,69565.11520674416,9943.031375709297,-74.15096298865572,43.50488208649977,-0.06743392242643736
82130.59489919351,69568.59559731108,9943.025980995502,-73.9712926080327,45.719154620482584,0.09256607757356264
82124.67719578487,69572.25312968073,9943.033386281708,-73.95204946784207,46.538722939617905,-0.06743392242643736
82118.76103182744,69575.9762275159,9943.027991567913,-73.900039431871,47.87173550350269,0.09256607757356264
82112.84902867289,69579.80596635619,9943.035396854119,-73.91950718157231,48.15327405661536,-0.06743392242643736
82106.93546809837,69583.65822828072,9943.030002140324,-73.92198178624376,48.202468980943465,0.09256607757356264
82101.02170955547,69587.51442579919,9943.03740742653,-73.93933177441536,49.77743175595015,-0.06743392242643736
82095.10656301351,69591.49662033966,9943.032012712734,-74.10223383681839,51.640212511762144,0.09256607757356264
82089.17838430656,69595.62783734061,9943.03941799894,-74.1758701165463,51.940862578018056,-0.06743392242643736
82083.24431469724,69599.78310634685,9943.034023285145,-74.27058024150689,52.72944646613686,0.09256607757356264
82077.30266827792,69604.00146206415,9943.04142857135,-74.15931518760966,53.33239332125717,-0.06743392242643736
82071.36992306291,69608.26805352984,9943.036033857556,-74.18618255171448,53.671701696011084,0.09256607757356264
82065.43502845877,69612.56178966552,9943.043439143761,-74.12612677276145,54.19321034652438,-0.06743392242643736
82059.50493831695,69616.89724649324,9943.038044429966,-73.97829202353833,55.060045598981056,0.09256607757356264
82053.58667495508,69621.30205014117,9943.045449716172,-73.91147316786166,55.7430762060294,-0.06743392242643736
82047.67375710164,69625.76149623765,9943.040055002377,-73.88306813052948,55.9394284604764,0.09256607757356264
82041.7631116512,69630.23665051449,9943.047460288582,-73.9022370242795,56.19317484591936,-0.06743392242643736
82035.85093268927,69634.73210450217,9943.042065574788,-73.90466548556091,56.29306548399188,0.09256607757356264
82029.93855945043,69639.23554974089,9943.049470860993,-74.11818377888926,57.4750013994751,-0.06743392242643736
82024.00910474811,69643.83354985285,9943.044076147198,-74.14047505535402,57.62589559714344,0.09256607757356264
82018.07786674368,69648.44362150061,9943.051481433404,-74.06176173273197,59.08291624365573,-0.06743392242643736
82012.15292580506,69653.1702548001,9943.046086719609,-74.08851913636448,59.236359343211305,0.09256607757356264
82006.22584427414,69657.90916354756,9943.053492005814,-74.40477971290424,60.93415919517358,-0.06743392242643736
82000.27346189712,69662.78389628317,9943.04809729202,-75.0643274941462,62.41982821028346,0.09256607757356264
81994.26831569758,69667.77748254,9943.055502578225,-75.50280433107395,62.91324204157498,-0.06743392242643736
81988.22809135109,69672.81054190332,9943.05010786443,-76.29375371995502,64.69775081540453,0.09256607757356264
81982.12459105349,69677.98636196855,9943.057513150636,-76.43471393433141,65.2774396962676,-0.06743392242643736
81976.00981393874,69683.20855714424,9943.05211843684,-76.40327749469947,66.1692996630876,0.09256607757356264
81969.89755173917,69688.5021011173,9943.059523723046,-76.16765502289502,67.72444852999409,-0.06743392242643736
81963.80413933733,69693.92005699969,9943.054129009251,-76.31270254711725,68.64176257085087,0.09256607757356264
81957.69912313356,69699.41139800535,9943.061534295457,-76.79295171807956,69.82060108627279,-0.06743392242643736
81951.55568699611,69704.99704609225,9943.056139581662,-77.37522295050533,71.16044757503144,0.09256607757356264
81945.36566916008,69710.68988189824,9943.063544867868,-77.42365862681488,71.22965527563147,-0.06743392242643736
81939.17177646993,69716.38825432029,9943.058150154073,-78.80970982522295,72.84030873022992,0.09256607757356264
81932.86699968392,69722.2154790187,9943.065555440278,-78.8344762927775,72.86604799130782,-0.06743392242643736
81926.56024158049,69728.04476285802,9943.060160726483,-79.24135197694663,73.27700400691283,0.09256607757356264
81920.22093342233,69733.90692317857,9943.067566012689,-79.37642623970049,73.51182962507242,-0.06743392242643736
81913.87081932316,69739.78786954857,9943.062171298894,-79.39146915036834,73.53201745254991,0.09256607757356264
81907.51950179113,69745.67043094478,9943.0695765851,-79.3939662774773,73.53585183091059,-0.06743392242643736
81901.16798448893,69751.55329909125,9943.064181871305,-80.01713461250162,74.96949903834131,0.09256607757356264
81894.76661371993,69757.55085901431,9943.07158715751,-80.62883516217063,76.61591876495768,-0.06743392242643736
81888.31630690696,69763.68013251551,9943.066192443715,-80.87540649781955,77.16162574205579,0.09256607757356264
81881.84627438714,69769.85306257487,9943.073597729921,-81.80640448111804,78.69346774070641,-0.06743392242643736
81875.30176202864,69776.14853999413,9943.068203016126,-82.3230889160416,79.5649319845405,0.09256607757356264
81868.71591491536,69782.5137345529,9943.075608302332,-82.66981451935449,79.9650098025386,-0.06743392242643736
81862.1023297538,69788.9109353371,9943.070213588537,-83.84740083111345,81.70068178429443,0.09256607757356264
81855.39453768732,69795.44698987984,9943.077618874742,-84.12805500055475,82.04846920552455,-0.06743392242643736
81848.66429328728,69802.01086741628,9943.072224160947,-85.15801013110257,83.27885458948253,0.09256607757356264
81841.85165247679,69808.67317578343,9943.079629447153,-85.64501405477175,84.45028176292121,-0.06743392242643736
81835.00005135241,69815.42919832446,9943.074234733358,-86.24274582018649,86.05690639854714,0.09256607757356264
81828.1006316868,69822.31375083634,9943.081640019564,-86.93903335127693,87.4937054226367,-0.06743392242643736
81821.1455090187,69829.31324727015,9943.076245305769,-87.51834702960977,88.40201816341086,0.09256607757356264
81814.14404125632,69836.38540872323,9943.083650591974,-87.96611065493424,89.2861207209471,-0.06743392242643736
81807.10675240392,69843.5282983809,9943.07825587818,-88.13318479124383,89.64796850789321,0.09256607757356264
81800.05609762062,69850.70013586154,9943.085661164385,-88.69555600252095,91.07286825083283,-0.06743392242643736
81792.96045314042,69857.98596532161,9943.08026645059,-88.87728692737058,92.01640102429866,0.09256607757356264
81785.85027018623,69865.34727740356,9943.087671736796,-89.50561730933023,93.52903728864692,-0.06743392242643736
81778.68982080149,69872.82960038666,9943.082277023,-89.53970906306708,93.57384519977803,0.09256607757356264
81771.52664407644,69880.31550800263,9943.089682309206,-90.21369926308826,94.6920892760445,-0.06743392242643736
81764.3095481354,69887.89087514472,9943.084287595411,-90.60486864387394,95.50466885900343,0.09256607757356264
81757.06115864389,69895.53124865344,9943.091692881617,-91.57848478639083,97.26155508561602,-0.06743392242643736
81749.73487986097,69903.31217306029,9943.086298167822,-92.40172069078211,99.03563310815787,0.09256607757356264
81742.34274220571,69911.23502370894,9943.093703454027,-93.08971222178603,99.90472906163451,-0.06743392242643736
81734.89556522797,69919.22740203387,9943.088308740233,-93.47463046335,100.38405066730226,0.09256607757356264
