positionx,positiony,positionz,velocityx,velocityy,velocityz
-29256.201132989037,87938.12311752973,9000.0,-53.309454475179336,-138.43130883882537,0.8255197954616469
-29260.46588934705,87927.04861282262,9000.066041583637,-53.309454475179336,-138.43130883882537,0.8255197954616469
-29264.730645705065,87915.97410811551,9000.132083167275,-53.402026757224334,-138.67169588258423,0.9855197954616469
-29269.00280784564,87904.8803724449,9000.210924750912,-54.116703772152604,-140.52753319226085,1.245288532959958
-29273.332144147415,87893.63816978951,9000.31054783355,-54.61856967072459,-141.83075330368104,1.5215994979617165
-29277.701629721072,87882.29170952522,9000.432275793386,-55.33638343136161,-143.69473595677246,1.8771077831447138
-29282.12854039558,87870.79613064868,9000.582444416037,-55.711804033291834,-144.66960928462572,2.364553621442745
-29286.585484718245,87859.22256190592,9000.771608705752,-55.93295359052606,-145.243879326562,2.7635950139633154
-29291.06012100549,87847.6030515598,9000.99269630687,-56.32256459855518,-146.25560158690885,3.271797972222192
-29295.565926173374,87835.90260343284,9001.254440144648,-56.91370338687549,-147.79064104619798,3.755833818411646
-29300.119022444323,87824.07935214914,9001.554906850122,-57.222907697747104,-148.59356724144715,4.282659833280931
-29304.696855060145,87812.19186676983,9001.897519636785,-57.31027054683419,-148.8204266918406,4.683533521831783
-29309.281676703893,87800.28623263449,9002.27220231853,-57.827877120123276,-150.1645213952923,5.209244769842155
-29313.907906873505,87788.27307092286,9002.688941900118,-57.83605647029983,-150.18576112024425,5.721606950725683
-29318.53479139113,87776.25821003325,9003.146670456175,-58.434532643165475,-151.73985393050208,6.2349518943001865
-29323.20955400258,87764.11902171881,9003.645466607719,-58.47706118281556,-151.85028990222085,6.861767129310681
-29327.887718897204,87751.97099852664,9004.194407978064,-59.118762708920165,-153.51662813466126,7.563651537416577
-29332.61721991392,87739.68966827587,9004.799500101057,-59.76860899070293,-155.20411625880098,8.17361274283821
-29337.398708633176,87727.27333897517,9005.453389120485,-60.21274207239104,-156.35741869646392,8.865323692125454
-29342.215727998966,87714.76474547945,9006.162615015855,-60.53758815668462,-157.20096266183813,9.56733768025804
-29347.0587350515,87702.18866846651,9006.928002030276,-61.167888054604326,-158.83769371994018,10.418389520842137
-29351.95216609587,87689.48165296891,9007.761473191944,-61.589989585570706,-159.93378573532092,11.144532916558687
-29356.879365262717,87676.68695011009,9008.65303582527,-61.779141126054995,-160.4249649375075,11.983427762240204
-29361.8216965528,87663.85295291508,9009.611710046249,-61.959119946981595,-160.89232488311973,12.765657756456088
-29366.778426148558,87650.98156692443,9010.632962666765,-62.63117579022525,-162.63748567887154,13.637521697199787
-29371.788920211777,87637.97056807012,9011.723964402541,-62.77826678579791,-163.01944417452657,14.623770469299682
-29376.81118155464,87624.92901253616,9012.893866040085,-63.440762951486285,-164.73978088064771,15.53231657252292
-29381.88644259076,87611.7498300657,9014.136451365886,-63.960373937643766,-166.08908054257358,16.40193269359964
-29387.00327250577,87598.4627036223,9015.448605981373,-64.04596645433277,-166.31134288287916,17.176246513425422
-29392.12694982212,87585.15779619166,9016.822705702447,-64.26958443233985,-166.89202279566695,17.99515217957637
-29397.268516576707,87571.80643436802,9018.262317876814,-64.89040224599687,-168.50413125449597,18.916613186547973
-29402.459748756388,87558.32610386766,9019.775646931737,-65.09026783456514,-169.02313215761401,19.98582884534653
-29407.666970183152,87544.80425329505,9021.374513239365,-65.71222465186622,-170.63819832379107,21.00285997380213
-29412.9239481553,87531.15319742914,9023.05474203727,-66.1774105138428,-171.84616956192704,22.12402795157569
-29418.21814099641,87517.40550386418,9024.824664273396,-66.21904778668926,-171.95429113685893,23.14911156326042
-29423.515664819344,87503.64916057323,9026.676593198457,-66.95111687819232,-173.85529131581222,24.15476590197518
-29428.8717541696,87489.74073726796,9028.608974470615,-67.4914196043104,-175.25832224685533,25.08205597352708
-29434.271067737944,87475.7200714882,9030.615538948497,-68.09152406782883,-176.8166433203444,25.946211834392855
-29439.71838966337,87461.57474002258,9032.691235895249,-68.64110948781051,-178.2437790837055,26.86549139504334
-29445.209678422394,87447.31523769589,9034.840475206853,-69.17027638907088,-179.61789306511503,27.80534693282965
-29450.74330053352,87432.94580625067,9037.06490296148,-69.65953691228401,-180.88838017210833,28.744767464088795
-29456.3160634865,87418.4747358369,9039.364484358606,-69.7170731532722,-181.03778738747138,29.8108371520013
-29461.893429338765,87403.9917128459,9041.749351330765,-70.02663530416774,-181.8416428036881,30.993479044983363
-29467.495560163097,87389.4443814216,9044.228829654365,-70.07145538285933,-181.95802932867915,32.17138926296217
