positionx,positiony,positionz,velocityx,velocityy,velocityz
-36562.25421738115,-92622.71550367142,9000.0,-96.51835988244088,-25.159920234939364,0.8980784691088897
-36569.97568617175,-92624.72829729022,9000.07184627753,-96.51835988244088,-25.159920234939364,0.8980784691088897
-36577.69715496234,-92626.74109090901,9000.143692555059,-94.74777893076855,-25.73521685991251,1.0580784691088896
-36585.2769772768,-92628.7999082578,9000.228338832587,-93.60967094027686,-26.56210071646744,1.1967985528454141
-36592.76575095202,-92630.92487631513,9000.324082716814,-92.86648846380163,-27.58500364069893,1.341550141925837
-36600.19507002913,-92633.13167660638,9000.431406728168,-92.2156241620563,-29.588157987115615,1.4150476378731602
-36607.57231996209,-92635.49872924536,9000.544610539198,-92.2156241620563,-27.808854345194117,1.5010196943553038
-36614.949569895056,-92637.72343759297,9000.664692114748,-92.4649364589944,-26.65077955988362,1.7179866120232787
-36622.34676481177,-92639.85549995776,9000.802131043709,-93.03199009708386,-25.26063694338459,1.979275226457883
-36629.78932401954,-92641.87635091323,9000.960473061825,-93.33925285939567,-24.610284260183004,2.2943510408146284
-36637.25646424829,-92643.84517365404,9001.14402114509,-93.72820013255568,-23.45084490923605,2.6954080065355757
-36644.7547202589,-92645.72124124678,9001.359653785612,-94.31004257724628,-22.57598425999346,2.973627549688251
-36652.299523665075,-92647.52731998758,9001.597543989586,-94.79045656712171,-21.89856570225063,3.371837532034456
-36659.88276019044,-92649.27920524376,9001.86729099215,-95.52600708565906,-20.13390127563569,3.7469357104450043
-36667.524840757294,-92650.8899173458,9002.167045848986,-95.53613943290004,-20.099045933106023,4.256089992480022
-36675.167731911926,-92652.49784102045,9002.507533048385,-96.10116646734042,-18.32025280530011,4.915588825757681
-36682.855825229315,-92653.96346124487,9002.900780154445,-96.11037705610244,-17.923691634486488,5.586883318769846
-36690.5446553938,-92655.39735657563,9003.347730819947,-96.56880868704096,-16.601039950742155,6.123902415862782
-36698.27016008877,-92656.72543977169,9003.837643013216,-97.12339747778218,-14.607271178893884,6.530492097926569
-36706.04003188699,-92657.894021466,9004.36008238105,-97.53810379491753,-12.491115847632095,7.087979138575622
-36713.84308019058,-92658.89331073381,9004.927120712136,-98.00782860696341,-11.078569367066699,7.519266036055502
-36721.68370647913,-92659.77959628317,9005.52866199502,-98.08038226269177,-10.698605297430406,8.064308944874274
-36729.530137060145,-92660.63548470697,9006.17380671061,-98.17384087979747,-10.356410175549568,8.468213126471355
-36737.38404433053,-92661.46399752102,9006.85126376073,-98.40713077640281,-8.366057286274888,8.918245519165085
